company,product,month,quantity,value
Mahavir Paper Trading Company,JK-ENDURA-230GSM-94.0CMS,2026-06,3457.0,227989.15
Mahavir Paper Trading Company,JK-ENDURA-230GSM-98.5CMS,2026-04,5854.0,386071.3
Mahavir Paper Trading Company,JK-ENDURA-250GSM-67.50X91.50/30.90KG-200SHT,2026-05,2441.1,167727.98
Mahavir Paper Trading Company,JK-ENDURA-290GSM-73.0CMS,2026-04,3357.0,221394.15
Mahavir Paper Trading Company,JK-ENDURA-290GSM-73.0CMS,2026-06,2142.0,140408.1
Mahavir Paper Trading Company,JK-ENDURA-340GSM-102.0CMS,2026-04,15664.0,1033040.8
Mahavir Paper Trading Company,JK-ENDURA-340GSM-104.0CMS,2026-04,3108.0,204972.6
Mahavir Paper Trading Company,JK-Endura-190GSM-59.0X88.5/19.8KG-200SHT,2026-04,8573.4,602195.62
Mahavir Paper Trading Company,JK-Endura-190GSM-62.5X95.5/22.7KG-200SHT,2026-04,3223.4,227474.88
Mahavir Paper Trading Company,JK-Endura-190GSM-65.5X97.5/24.3KG-200SHT,2026-05,2041.2,145660.03
Mahavir Paper Trading Company,JK-Endura-190GSM-65.5X97.5/24.3KG-200SHT,2026-06,2187.0,156064.32
Mahavir Paper Trading Company,JK-Endura-190GSM-69.5X69.0/18.2KG-200SHT,2026-06,1146.6,79252.99
Mahavir Paper Trading Company,JK-Endura-190GSM-72.0X92.0/25.2KG-200SHT,2026-06,1789.2,127677.31
Mahavir Paper Trading Company,JK-Endura-190GSM-72.5X58.5/16.10KG-200SHT,2026-06,1851.5,132123.04
Mahavir Paper Trading Company,JK-Endura-190GSM-75.5X86.5/24.8KG-200SHT,2026-05,3645.6,256066.94
Mahavir Paper Trading Company,JK-Endura-190GSM-86.5X67.5/22.20KG-200SHT,2026-04,3418.8,229333.1
Mahavir Paper Trading Company,JK-Endura-190GSM-93.0X102.5/36.2KG-200SHT,2026-04,3221.8,227766.06
Mahavir Paper Trading Company,JK-Endura-190GSM-93.0X102.5/36.2KG-200SHT,2026-05,2172.0,154993.92
Mahavir Paper Trading Company,JK-Endura-200GSM-71.8X107.5/30.9KG-200SHT,2026-04,4017.0,282154.07999999996
Mahavir Paper Trading Company,JK-Endura-200GSM-71.8X107.5/30.9KG-200SHT,2026-05,370.8,25288.56
Mahavir Paper Trading Company,JK-Endura-200GSM-75.50X86.50/26.10KG-200SHT,2026-06,3888.9000000000005,273156.32999999996
Mahavir Paper Trading Company,JK-Endura-230GSM-43.0X75.0/14.8KG-200SHT,2026-04,1628.0,110229.51000000001
Mahavir Paper Trading Company,JK-Endura-230GSM-43.0X75.0/14.8KG-200SHT,2026-06,828.8,56946.85
Mahavir Paper Trading Company,JK-Endura-230GSM-43.5X69.0/13.8KG-200SHT,2026-05,966.0,66373.86
Mahavir Paper Trading Company,JK-Endura-230GSM-43.5X69.0/13.8KG-200SHT,2026-06,952.2,65425.66
Mahavir Paper Trading Company,JK-Endura-230GSM-57.5X87.0/23.0KG-200SHT,2026-06,1104.0,76308.48
Mahavir Paper Trading Company,JK-Endura-230GSM-59.50X105.5/28.90KG-200SHT,2026-06,1907.4,136112.06
Mahavir Paper Trading Company,JK-Endura-230GSM-67.0X80.50/24.80KG-200SHT,2026-06,6993.599999999999,483397.64
Mahavir Paper Trading Company,JK-Endura-230GSM-70.5X87.0/28.2KG-200SHT,2026-05,12041.4,859274.3
Mahavir Paper Trading Company,JK-Endura-230GSM-70.5X87.0/28.2KG-200SHT,2026-06,14889.6,1062521.8599999999
Mahavir Paper Trading Company,JK-Endura-230GSM-70.5X89.0/28.9KG-200SHT,2026-05,2167.5,152245.2
Mahavir Paper Trading Company,JK-Endura-230GSM-71.0X83.5/27.3KG-200SHT,2026-05,2156.7,151486.61
Mahavir Paper Trading Company,JK-Endura-230GSM-75.5X83.0/28.8KG-200SHT,2026-05,7257.6,517902.33999999997
Mahavir Paper Trading Company,JK-Endura-230GSM-78.5X81.5/29.4KG-200SHT,2026-05,2352.0,167838.72
Mahavir Paper Trading Company,JK-Endura-230GSM-78.5X81.5/29.4KG-200SHT,2026-06,3116.4,222386.3
Mahavir Paper Trading Company,JK-Endura-230GSM-80.0X68.5/25.20KG-200SHT,2026-06,1738.8,120185.86
Mahavir Paper Trading Company,JK-Endura-230GSM-85.5X68.0/26.7KG-200SHT,2026-04,3738.0,258370.56
Mahavir Paper Trading Company,JK-Endura-230GSM-86.0X64.0/25.3KG-200SHT,2026-04,7665.9,529867.01
Mahavir Paper Trading Company,JK-Endura-230GSM-91.0X64.0/26.8KG-200SHT,2026-05,2197.6,154359.42
Mahavir Paper Trading Company,JK-Endura-230GSM-92.5X75.0/31.90KG-200SHT,2026-06,13079.0,904020.48
