month,company,product,quantity,value,rate,quantity_lag1,quantity_lag2,quantity_lag3,quantity_rolling_mean_3,quantity_overall_avg,rate_lag1,rate_lag2,rate_lag3,rate_rolling_mean_3,rate_overall_avg,month_num,quarter,n_prior_months
2026-03,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,303.05333333333334,24168.106666666667,79.74869109947643,308.6066666666667,314.16,319.71333333333337,314.16,396.7919298245614,79.5064267352185,79.27272727272727,79.0471464019851,79.27543346997696,77.69190424246108,3,1,19
2026-04,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,297.5,23800.0,80.0,303.05333333333334,308.6066666666667,314.16,308.60666666666674,392.105,79.74869109947643,79.5064267352185,79.27272727272727,79.50928170247407,77.79474358531185,4,2,20
2026-05,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,571.2,42554.4,74.5,297.5,303.05333333333334,308.6066666666667,303.05333333333334,387.6,80.0,79.74869109947643,79.5064267352185,79.75170594489832,77.89975579553509,5,2,21
2026-06,Rahul Traders,JK TUFFCOTE 300GSM-56.0X71.0-11.9KGS-100 SHT,119.0,9639.0,81.0,571.2,297.5,303.05333333333334,390.58444444444444,395.94545454545454,74.5,80.0,79.74869109947643,78.08289703315882,77.74522144119258,6,2,22
2024-10,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1850.0,135050.0,73.0,,,,,,,,,,,10,4,0
2024-11,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1802.0555555555557,130974.30555555556,72.68050374572248,1850.0,1850.0,1850.0,1850.0,1850.0,73.0,73.0,73.0,73.0,73.0,11,4,1
2024-12,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1754.111111111111,126898.61111111111,72.34354215493761,1802.0555555555557,1850.0,1850.0,1834.0185185185185,1826.0277777777778,72.68050374572248,73.0,73.0,72.89350124857417,72.84025187286124,12,4,2
2025-01,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1706.1666666666667,122822.91666666667,71.98764286412035,1754.111111111111,1802.0555555555557,1850.0,1802.0555555555557,1802.0555555555557,72.34354215493761,72.68050374572248,73.0,72.6746819668867,72.6746819668867,1,1,3
2025-02,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1658.2222222222222,118747.22222222222,71.61116322701689,1706.1666666666667,1754.111111111111,1802.0555555555557,1754.1111111111113,1778.0833333333335,71.98764286412035,72.34354215493761,72.68050374572248,72.33722958826014,72.50292219119511,2,1,4
2025-03,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1610.2777777777778,114671.52777777778,71.21226496463689,1658.2222222222222,1706.1666666666667,1754.111111111111,1706.1666666666667,1754.1111111111109,71.61116322701689,71.98764286412035,72.34354215493761,71.98078274869162,72.32457039835947,3,1,5
2025-04,Rahul Traders,JK TUFFCOTE 300GSM-63.5CMS,1562.3333333333335,110595.83333333334,70.78888414764242,1610.2777777777778,1658.2222222222222,1706.1666666666667,1658.2222222222224,1730.138888888889,71.21226496463689,71.61116322701689,71.98764286412035,71.6036903519247,72.1391861594057,4,2,6
